coarse_neq,fine_neq,coarse_iters,fine_iters,rom_time_ms,fom_time_ms,speedup_vs_fom,rel_l2_median,rel_l2_p90,rel_l2_max,frac_le_1e-2,frac_le_5e-3,iters_c_med,iters_f_med
500,1000,10,5,78.97,273.98,3.469,3.233e-03,3.192e-01,2.818e+00,0.812,0.762,10.0,5.0
500,1000,10,10,80.04,273.98,3.423,3.048e-03,3.589e-02,2.981e+00,0.869,0.800,10.0,5.0
500,1000,10,20,81.17,273.98,3.375,3.017e-03,1.003e-02,3.054e+00,0.894,0.819,10.0,5.0
500,1000,20,3,89.58,273.98,3.058,2.997e-03,8.112e-02,1.815e+00,0.869,0.806,20.0,3.0
500,1000,20,5,94.06,273.98,2.913,2.911e-03,1.801e-02,1.827e+00,0.881,0.825,20.0,5.0
500,1000,20,10,94.03,273.98,2.914,2.891e-03,9.869e-03,1.556e+00,0.906,0.838,20.0,5.0
500,1000,20,20,94.39,273.98,2.902,2.878e-03,9.729e-03,1.530e+00,0.906,0.844,20.0,5.0
500,1000,30,3,104.84,273.98,2.613,2.961e-03,2.390e-02,1.970e+00,0.881,0.825,30.0,3.0
500,1000,30,5,108.34,273.98,2.529,2.929e-03,1.720e-02,1.871e+00,0.887,0.819,30.0,5.0
500,1000,30,10,108.63,273.98,2.522,2.890e-03,9.565e-03,1.816e+00,0.919,0.844,30.0,5.0
500,1000,30,20,109.85,273.98,2.494,2.877e-03,6.655e-03,1.653e+00,0.938,0.850,30.0,5.0
500,2000,10,3,82.84,273.98,3.307,3.460e-03,4.724e-01,2.372e+00,0.775,0.706,10.0,3.0
500,2000,10,5,91.75,273.98,2.986,3.233e-03,3.192e-01,2.818e+00,0.812,0.762,10.0,5.0
500,2000,10,10,93.70,273.98,2.924,3.048e-03,3.589e-02,2.981e+00,0.869,0.800,10.0,5.0
500,2000,10,20,94.24,273.98,2.907,3.017e-03,1.003e-02,3.054e+00,0.894,0.819,10.0,5.0
500,2000,20,3,97.93,273.98,2.798,2.997e-03,8.112e-02,1.815e+00,0.869,0.806,20.0,3.0
500,2000,20,5,105.68,273.98,2.593,2.911e-03,1.801e-02,1.827e+00,0.881,0.825,20.0,5.0
500,2000,20,10,107.51,273.98,2.548,2.891e-03,9.869e-03,1.556e+00,0.906,0.838,20.0,5.0
500,2000,20,20,107.39,273.98,2.551,2.878e-03,9.729e-03,1.530e+00,0.906,0.844,20.0,5.0
500,2000,30,3,113.50,273.98,2.414,2.961e-03,2.390e-02,1.970e+00,0.881,0.825,30.0,3.0
500,2000,30,5,119.20,273.98,2.299,2.929e-03,1.720e-02,1.871e+00,0.887,0.819,30.0,5.0
