problem,phase,intervals,method,gpu_ms,host_ms,worst_error,error_norm,target,qualified,solver_converged,stationarity_status,stalled_initial_fits,stalled_steps,gpu_outliers,host_outliers,invocations,job_id
Poisson 2D tuning,screen,64,stationarity_1e-06,2.4856479139998555,3.502717590890825,0.06802558107061522,current-relative solution L2,0.05,False,True,90/90 stationary,,,0,0,90,3548866
Poisson 2D tuning,screen,64,strict_M1024,2.7955789119005203,3.777096513658762,0.06802473602491421,current-relative solution L2,0.05,False,True,90/90 stationary,,,0,0,90,3548866
Poisson 2D tuning,screen,64,strict_M128,2.6952020125463605,3.675704007036984,0.06803358653396036,current-relative solution L2,0.05,False,True,90/90 stationary,,,0,0,90,3548866
Poisson 2D tuning,screen,64,strict_M256,2.7475409442558885,3.725055023096502,0.06802558226391779,current-relative solution L2,0.05,False,True,90/90 stationary,,,0,0,90,3548866
Poisson 2D tuning,screen,64,strict_M512,2.8119804337620735,3.795043914578855,0.06802482097369157,current-relative solution L2,0.05,False,True,90/90 stationary,,,1,0,90,3548866
Poisson 2D tuning,screen,64,strict_M64,2.7087489143013954,3.7184528773650527,0.06899900135966508,current-relative solution L2,0.05,False,True,90/90 stationary,,,1,0,90,3548866
Poisson 2D tuning,confirmation,64,budget_1,1.4883034164085984,2.462943666614592,0.300699262710687,current-relative solution L2,0.05,False,False,0/90 stationary,,,1,0,90,3548866
Poisson 2D tuning,confirmation,64,cg_1e-01,2.8690805193036795,3.7315405206754804,0.08816888062280737,current-relative solution L2,0.05,False,True,not applicable,,,0,0,90,3548866
Poisson 2D tuning,confirmation,64,cg_1e-02,3.5426124231889844,4.490719409659505,0.004030522952679789,current-relative solution L2,0.05,True,True,not applicable,,,0,0,90,3548866
Poisson 2D tuning,confirmation,64,cg_1e-04,4.856751067563891,5.69555361289531,0.002573000966782946,current-relative solution L2,0.05,True,True,not applicable,,,0,0,90,3548866
Poisson 2D tuning,confirmation,64,cg_1e-06,5.758677609264851,6.587019539438188,0.0025721658257001046,current-relative solution L2,0.05,True,True,not applicable,,,0,0,90,3548866
Poisson 2D tuning,confirmation,64,cg_3e-02,3.2480974914506078,4.109863541088998,0.011347920341766318,current-relative solution L2,0.05,True,True,not applicable,,,0,0,90,3548866
Poisson 2D tuning,confirmation,64,dst,0.13700849376618862,1.493282150477171,0.002572172851689943,current-relative solution L2,0.05,True,True,not applicable,,,2,1,90,3548866
Poisson 2D tuning,confirmation,64,multistart4_M1024,6.426691426895559,7.413681480102241,0.0680247360249142,current-relative solution L2,0.05,False,True,90/90 stationary,,,0,0,90,3548866
Poisson 2D tuning,confirmation,64,nmrom_baseline,2.3613565135747194,3.3539854921400547,0.06802558226391779,current-relative solution L2,0.05,False,True,90/90 stationary,,,1,1,90,3548866
Poisson 2D tuning,confirmation,64,stationarity_1e-06,2.2102600196376443,3.2227624906226993,0.06802558107061522,current-relative solution L2,0.05,False,True,90/90 stationary,,,0,0,90,3548866
Poisson 2D tuning,confirmation,256,budget_1,1.6726985340937972,2.7799869421869516,0.2999948456425738,current-relative solution L2,0.05,False,False,0/90 stationary,,,2,1,90,3548866
Poisson 2D tuning,confirmation,256,cg_1e-01,11.387377511709929,12.505871127359569,0.02272479940606718,current-relative solution L2,0.05,True,True,not applicable,,,0,0,90,3548866
Poisson 2D tuning,confirmation,256,cg_1e-02,14.961264445446432,15.959594980813563,0.0015375579305341915,current-relative solution L2,0.05,True,True,not applicable,,,0,0,90,3548866
Poisson 2D tuning,confirmation,256,cg_1e-04,21.220861934125423,22.3669339902699,0.00015547091128564674,current-relative solution L2,0.05,True,True,not applicable,,,0,0,90,3548866
Poisson 2D tuning,confirmation,256,cg_1e-06,25.626842980273068,26.865694555453956,0.00015459738356351157,current-relative solution L2,0.05,True,True,not applicable,,,0,0,90,3548866
Poisson 2D tuning,confirmation,256,cg_3e-02,13.251699041575193,14.334290055558085,0.005485740626675056,current-relative solution L2,0.05,True,True,not applicable,,,0,0,90,3548866
Poisson 2D tuning,confirmation,256,dst,0.1385440118610859,1.8107530195266008,0.0001545997763344007,current-relative solution L2,0.05,True,True,not applicable,,,3,0,90,3548866
Poisson 2D tuning,confirmation,256,multistart4_M1024,6.636181031353772,7.789318566210568,0.06801553229412984,current-relative solution L2,0.05,False,True,90/90 stationary,,,0,0,90,3548866
