jax_backend=gpu

### k=12 src=9  ceiling 2.973e-03  ROM 1.962e-01  obj0 4.3163e-02 -> 9.1232e-03 (red 2.11e-01)  obj@ceil 1.0176e-04  iters 60 acc 38 reason 0  |z0-zceil| 0.314 |zfin-zceil| 3.552
   it   lam       ||r||       ||r_new||   acc  ||dz||    ||z||   cond(J)   ||g||
    27 7.74e-05 2.7056e-03 2.7074e-03 .  1.036e-01 2.075 2.134e+02 4.707e-06
    28 7.74e-04 2.7056e-03 2.7034e-03 A  4.727e-02 2.075 2.134e+02 4.707e-06
    29 2.58e-04 2.7034e-03 2.7027e-03 A  2.515e-02 2.051 2.149e+02 3.557e-06
    30 8.60e-05 2.7027e-03 2.7029e-03 .  4.490e-02 2.062 2.163e+02 2.701e-06
    31 8.60e-04 2.7027e-03 2.7023e-03 A  1.973e-02 2.062 2.163e+02 2.701e-06
    32 2.87e-04 2.7023e-03 2.7021e-03 A  9.778e-03 2.052 2.171e+02 1.528e-06
    33 9.56e-05 2.7021e-03 2.7021e-03 A  1.736e-02 2.055 2.178e+02 1.405e-06
    34 3.19e-05 2.7021e-03 2.7025e-03 .  3.388e-02 2.046 2.185e+02 8.484e-07
    35 3.19e-04 2.7021e-03 2.7021e-03 A  1.786e-02 2.046 2.185e+02 8.484e-07
    36 1.06e-04 2.7021e-03 2.7022e-03 .  2.614e-02 2.055 2.188e+02 1.050e-06
    37 1.06e-03 2.7021e-03 2.7020e-03 A  1.018e-02 2.055 2.188e+02 1.050e-06
    38 3.54e-04 2.7020e-03 2.7020e-03 A  3.824e-03 2.050 2.189e+02 3.331e-07
    39 1.18e-04 2.7020e-03 2.7020e-03 .  7.406e-03 2.052 2.191e+02 4.192e-07
    40 1.18e-03 2.7020e-03 2.7019e-03 A  2.801e-03 2.052 2.191e+02 4.192e-07
    41 3.93e-04 2.7019e-03 2.7019e-03 A  1.078e-03 2.051 2.192e+02 1.814e-07
    42 1.31e-04 2.7019e-03 2.7019e-03 A  1.750e-03 2.051 2.193e+02 1.897e-07
    43 4.37e-05 2.7019e-03 2.7019e-03 .  2.539e-03 2.050 2.194e+02 1.230e-07
    44 4.37e-04 2.7019e-03 2.7019e-03 A  1.233e-03 2.050 2.194e+02 1.230e-07
    45 1.46e-04 2.7019e-03 2.7019e-03 .  1.631e-03 2.050 2.195e+02 1.240e-07
    46 1.46e-03 2.7019e-03 2.7019e-03 A  6.327e-04 2.050 2.195e+02 1.240e-07
    47 4.86e-04 2.7019e-03 2.7019e-03 A  2.874e-04 2.050 2.195e+02 4.759e-08
    48 1.62e-04 2.7019e-03 2.7019e-03 A  3.441e-04 2.050 2.195e+02 5.211e-08
    49 5.40e-05 2.7019e-03 2.7019e-03 A  3.661e-04 2.050 2.196e+02 3.708e-08
    50 1.80e-05 2.7019e-03 2.7019e-03 .  9.854e-04 2.050 2.196e+02 3.833e-08
    51 1.80e-04 2.7019e-03 2.7019e-03 .  6.347e-04 2.050 2.196e+02 3.833e-08
    52 1.80e-03 2.7019e-03 2.7019e-03 A  1.977e-04 2.050 2.196e+02 3.833e-08
    53 6.00e-04 2.7019e-03 2.7019e-03 A  1.064e-04 2.050 2.196e+02 1.286e-08
    54 2.00e-04 2.7019e-03 2.7019e-03 A  8.621e-05 2.050 2.196e+02 1.317e-08
    55 6.66e-05 2.7019e-03 2.7019e-03 A  4.858e-05 2.050 2.196e+02 1.062e-08
    56 2.22e-05 2.7019e-03 2.7019e-03 .  9.759e-05 2.050 2.196e+02 9.089e-09
    57 2.22e-04 2.7019e-03 2.7019e-03 A  6.203e-05 2.050 2.196e+02 9.089e-09
    58 7.40e-05 2.7019e-03 2.7019e-03 .  8.085e-05 2.050 2.196e+02 4.818e-09
    59 7.40e-04 2.7019e-03 2.7019e-03 A  3.354e-05 2.050 2.196e+02 4.818e-09
   slice t: obj / err
